Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-10-24,6.75,0.8862046001229538,0.8862046001229538
2023-10-25,5.5,0.38713670893014573,0.38713670893014573
2023-10-30,5.0,0.18750955245302253,0.18750955245302253
2023-10-31,7.0,0.9860181783615154,0.9860181783615154
2023-11-01,3.25,-0.5111854952169087,-0.5111854952169087
2023-11-02,5.5,0.38713670893014573,0.38713670893014573
2023-11-06,2.75,-0.7108126516940318,-0.7108126516940318
2023-11-07,8.0,1.3852724913157617,1.3852724913157617
2023-11-08,3.75,-0.31155833873978545,-0.31155833873978545
2023-11-09,5.5,0.38713670893014573,0.38713670893014573
2023-11-16,2.5,-0.8106262299325935,-0.8106262299325935
2023-11-17,9.25,1.8843403825085698,1.8843403825085698
2023-11-20,3.75,-0.31155833873978545,-0.31155833873978545
2023-11-21,3.75,-0.31155833873978545,-0.31155833873978545
2023-11-23,5.75,0.48695028716870736,0.48695028716870736
2023-11-27,3.7559814453127274,-0.3091702209009791,-0.3091702209009791
2023-11-28,3.75,-0.31155833873978545,-0.31155833873978545
2023-12-01,4.5,-0.012117604024100656,-0.012117604024100656
2023-12-04,3.25,-0.5111854952169087,-0.5111854952169087
2023-12-05,3.5,-0.4113719169783471,-0.4113719169783471
2023-12-06,4.75,0.08769597421446094,0.08769597421446094
2023-12-07,5.25,0.28732313069158416,0.28732313069158416
2023-12-14,7.75,1.2854589130772,1.2854589130772
2023-12-15,6.25,0.6865774436458305,0.6865774436458305
2023-12-18,3.25,-0.5111854952169087,-0.5111854952169087
2023-12-19,4.5,-0.012117604024100656,-0.012117604024100656
2023-12-20,3.75,-0.31155833873978545,-0.31155833873978545
2023-12-26,1.75,-1.1100669646482784,-1.1100669646482784
2023-12-27,2.25,-0.9104398081711551,-0.9104398081711551
2023-12-28,2.25,-0.9104398081711551,-0.9104398081711551
2023-12-29,6.0,0.586763865407269,0.586763865407269
2024-01-02,5.0,0.18750955245302253,0.18750955245302253
2024-01-03,4.75,0.08769597421446094,0.08769597421446094
2024-01-04,7.0,0.9860181783615154,0.9860181783615154
2024-01-09,4.0,-0.21174476050122384,-0.21174476050122384
2024-01-10,5.75,0.48695028716870736,0.48695028716870736
2024-01-16,3.25,-0.5111854952169087,-0.5111854952169087
2024-01-17,4.0,-0.21174476050122384,-0.21174476050122384
2024-01-18,2.5,-0.8106262299325935,-0.8106262299325935
2024-01-22,5.0,0.18750955245302253,0.18750955245302253
2024-01-23,4.75,0.08769597421446094,0.08769597421446094
2024-01-24,3.75,-0.31155833873978545,-0.31155833873978545
2024-01-29,4.004028320312273,-0.21013643624258782,-0.21013643624258782
2024-01-30,3.5,-0.4113719169783471,-0.4113719169783471
2024-01-31,4.25,-0.11193118226266226,-0.11193118226266226
2024-02-01,3.0,-0.6109990734554702,-0.6109990734554702
2024-02-05,4.75,0.08769597421446094,0.08769597421446094
2024-02-06,4.75,0.08769597421446094,0.08769597421446094
2024-02-07,4.5,-0.012117604024100656,-0.012117604024100656
