Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-01-24,6.25,0.3790540782228697,0.3790540782228697
2024-01-29,3.75,-0.48597216358501155,-0.48597216358501155
2024-01-30,4.0,-0.3994695394042234,-0.3994695394042234
2024-01-31,8.0,0.9845724474883866,0.9845724474883866
2024-02-01,7.5,0.8115671991268103,0.8115671991268103
2024-02-05,4.25,-0.3129669152234353,-0.3129669152234353
2024-02-06,4.75,-0.13996166686185904,-0.13996166686185904
2024-02-07,3.75,-0.48597216358501155,-0.48597216358501155
2024-02-08,2.5,-0.9184852844889522,-0.9184852844889522
2024-02-15,5.75,0.20604882986129344,0.20604882986129344
2024-02-20,3.75,-0.48597216358501155,-0.48597216358501155
2024-02-21,5.25,0.0330435814997172,0.0330435814997172
2024-02-22,3.0,-0.7454800361273759,-0.7454800361273759
2024-02-23,6.0,0.29255145404208155,0.29255145404208155
2024-02-26,4.5,-0.22646429104264718,-0.22646429104264718
2024-02-27,4.25,-0.3129669152234353,-0.3129669152234353
2024-03-04,3.0,-0.7454800361273759,-0.7454800361273759
2024-03-05,2.25,-1.0049879086697402,-1.0049879086697402
2024-03-06,4.5,-0.22646429104264718,-0.22646429104264718
2024-03-07,3.75,-0.48597216358501155,-0.48597216358501155
2024-03-13,2.75,-0.831982660308164,-0.831982660308164
2024-03-18,3.75,-0.48597216358501155,-0.48597216358501155
2024-03-19,2.25,-1.0049879086697402,-1.0049879086697402
2024-03-20,2.5,-0.9184852844889522,-0.9184852844889522
2024-03-21,2.0,-1.0914905328505284,-1.0914905328505284
2024-03-22,2.0,-1.0914905328505284,-1.0914905328505284
2024-03-25,1.25,-1.3509984053928927,-1.3509984053928927
2024-03-26,4.0,-0.3994695394042234,-0.3994695394042234
2024-03-27,3.75,-0.48597216358501155,-0.48597216358501155
2024-04-01,2.75,-0.831982660308164,-0.831982660308164
2024-04-02,1.5,-1.2644957812121047,-1.2644957812121047
2024-04-03,4.75,-0.13996166686185904,-0.13996166686185904
2024-04-04,3.0,-0.7454800361273759,-0.7454800361273759
2024-04-09,2.25,-1.0049879086697402,-1.0049879086697402
2024-04-15,7.0,0.638561950765234,0.638561950765234
2024-04-16,4.25,-0.3129669152234353,-0.3129669152234353
2024-04-17,5.0,-0.05345904268107092,-0.05345904268107092
2024-04-18,4.0,-0.3994695394042234,-0.3994695394042234
2024-04-19,3.0,-0.7454800361273759,-0.7454800361273759
2024-04-22,3.75,-0.48597216358501155,-0.48597216358501155
2024-04-23,2.25,-1.0049879086697402,-1.0049879086697402
2024-04-24,3.0,-0.7454800361273759,-0.7454800361273759
2024-04-29,3.75,-0.48597216358501155,-0.48597216358501155
2024-04-30,3.75,-0.48597216358501155,-0.48597216358501155
2024-05-01,12.25,2.4551170585617847,2.4551170585617847
2024-05-02,8.25,1.0710750716691746,1.0710750716691746
2024-05-06,3.5,-0.5724747877657996,-0.5724747877657996
2024-05-07,4.25,-0.3129669152234353,-0.3129669152234353
2024-05-08,2.25,-1.0049879086697402,-1.0049879086697402
2024-05-09,2.75,-0.831982660308164,-0.831982660308164
2024-05-16,1.5,-1.2644957812121047,-1.2644957812121047
2024-05-17,4.0,-0.3994695394042234,-0.3994695394042234
2024-05-20,2.0,-1.0914905328505284,-1.0914905328505284
2024-05-21,1.75,-1.1779931570313165,-1.1779931570313165
2024-05-22,2.5,-0.9184852844889522,-0.9184852844889522
2024-05-23,3.25,-0.6589774119465878,-0.6589774119465878
2024-05-28,6.75,0.5520593265844459,0.5520593265844459
2024-05-29,4.75,-0.13996166686185904,-0.13996166686185904
2024-06-03,2.5,-0.9184852844889522,-0.9184852844889522
2024-06-04,4.5,-0.22646429104264718,-0.22646429104264718
2024-06-05,3.5,-0.5724747877657996,-0.5724747877657996
2024-06-06,3.75,-0.48597216358501155,-0.48597216358501155
2024-06-11,5.75,0.20604882986129344,0.20604882986129344
2024-06-17,3.0,-0.7454800361273759,-0.7454800361273759
2024-06-18,3.0,-0.7454800361273759,-0.7454800361273759
2024-06-20,3.75,-0.48597216358501155,-0.48597216358501155
2024-06-21,2.0,-1.0914905328505284,-1.0914905328505284
2024-06-24,2.75,-0.831982660308164,-0.831982660308164
2024-06-25,1.5,-1.2644957812121047,-1.2644957812121047
2024-06-26,3.0,-0.7454800361273759,-0.7454800361273759
2024-07-01,2.5,-0.9184852844889522,-0.9184852844889522
2024-07-02,2.75,-0.831982660308164,-0.831982660308164
2024-07-03,7.75,0.8980698233075984,0.8980698233075984
2024-07-09,5.25,0.0330435814997172,0.0330435814997172
2024-07-10,2.75,-0.831982660308164,-0.831982660308164
2024-07-15,3.25,-0.6589774119465878,-0.6589774119465878
2024-07-16,5.25,0.0330435814997172,0.0330435814997172
2024-07-17,3.25,-0.6589774119465878,-0.6589774119465878
2024-07-18,3.0,-0.7454800361273759,-0.7454800361273759
2024-07-19,2.75,-0.831982660308164,-0.831982660308164
2024-07-22,6.0,0.29255145404208155,0.29255145404208155
2024-07-23,2.5,-0.9184852844889522,-0.9184852844889522
2024-07-24,8.0,0.9845724474883866,0.9845724474883866
2024-07-29,2.0,-1.0914905328505284,-1.0914905328505284
2024-07-30,5.0,-0.05345904268107092,-0.05345904268107092
2024-07-31,5.0,-0.05345904268107092,-0.05345904268107092
2024-08-01,3.5,-0.5724747877657996,-0.5724747877657996
2024-08-05,10.75,1.936101313477056,1.936101313477056
2024-08-06,8.75,1.2440803200307509,1.2440803200307509
2024-08-07,4.75,-0.13996166686185904,-0.13996166686185904
2024-08-08,4.25,-0.3129669152234353,-0.3129669152234353
2024-08-09,3.25,-0.6589774119465878,-0.6589774119465878
2024-08-15,3.75,-0.48597216358501155,-0.48597216358501155
2024-08-19,4.5,-0.22646429104264718,-0.22646429104264718
2024-08-20,3.5,-0.5724747877657996,-0.5724747877657996
2024-08-22,3.5,-0.5724747877657996,-0.5724747877657996
2024-08-23,3.75,-0.48597216358501155,-0.48597216358501155
2024-08-26,4.75,-0.13996166686185904,-0.13996166686185904
2024-08-27,3.25,-0.6589774119465878,-0.6589774119465878
2024-08-28,11.5,2.1956091860194205,2.1956091860194205
2024-09-03,11.5,2.1956091860194205,2.1956091860194205
2024-09-04,10.75,1.936101313477056,1.936101313477056
2024-09-05,13.0,2.714624931104149,2.714624931104149
2024-09-10,14.25,3.14713805200809,3.14713805200809
2024-09-16,9.5,1.5035881925731154,1.5035881925731154
2024-09-17,2.25,-1.0049879086697402,-1.0049879086697402
2024-09-18,3.0,-0.7454800361273759,-0.7454800361273759
2024-09-19,3.75,-0.48597216358501155,-0.48597216358501155
2024-09-20,6.75,0.5520593265844459,0.5520593265844459
2024-09-23,5.75,0.20604882986129344,0.20604882986129344
2024-09-24,3.25,-0.6589774119465878,-0.6589774119465878
2024-09-25,2.5,-0.9184852844889522,-0.9184852844889522
2024-09-30,3.5,-0.5724747877657996,-0.5724747877657996
2024-10-01,6.5,0.4655567024036578,0.4655567024036578
2024-10-02,2.0,-1.0914905328505284,-1.0914905328505284
2024-10-03,3.25,-0.6589774119465878,-0.6589774119465878
2024-10-07,2.5,-0.9184852844889522,-0.9184852844889522
2024-10-08,4.25,-0.3129669152234353,-0.3129669152234353
2024-10-14,2.75,-0.831982660308164,-0.831982660308164
2024-10-16,3.0,-0.7454800361273759,-0.7454800361273759
2024-10-17,1.75,-1.1779931570313165,-1.1779931570313165
